time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover,Bias
2024-11-06 12:00:00,17.61688,17.69052,17.59769,17.68057,17.51112,17.557017600000002,-1,0.0,Bearish
2024-11-06 13:00:00,17.68058,17.7736,17.67414,17.75833,17.515973199999998,17.5582586,-1,0.0,Bearish
2024-11-06 14:00:00,17.75673,17.7797,17.70201,17.73113,17.5201638,17.5589534,-1,0.0,Bearish
2024-11-06 15:00:00,17.73114,17.74613,17.68345,17.70132,17.5241248,17.5586714,-1,0.0,Bearish
2024-11-06 16:00:00,17.70132,17.743290000000002,17.67861,17.72311,17.528158599999998,17.558665599999998,-1,0.0,Bearish
2024-11-06 17:00:00,17.72282,17.72282,17.59283,17.59987,17.529491,17.5578737,-1,0.0,Bearish
2024-11-06 18:00:00,17.59994,17.62701,17.5815,17.61226,17.5312886,17.5575009,-1,0.0,Bearish
2024-11-06 19:00:00,17.61226,17.62801,17.5933,17.62195,17.533445999999998,17.5574109,-1,0.0,Bearish
2024-11-06 20:00:00,17.62195,17.62291,17.5574,17.56359,17.5338478,17.55659,-1,0.0,Bearish
2024-11-06 21:00:00,17.56336,17.62542,17.56009,17.60799,17.5357264,17.5560695,-1,0.0,Bearish
2024-11-06 22:00:00,17.60747,17.61457,17.59762,17.613129999999998,17.5381478,17.555546,-1,0.0,Bearish
2024-11-06 23:00:00,17.613129999999998,17.63664,17.57461,17.58471,17.5398608,17.5549953,-1,0.0,Bearish
2024-11-07 00:00:00,17.58471,17.64732,17.56552,17.60913,17.5420988,17.5546515,-1,0.0,Bearish
2024-11-07 01:00:00,17.61846,17.66476,17.58822,17.649259999999998,17.545271,17.55485,-1,0.0,Bearish
2024-11-07 02:00:00,17.63203,17.6602,17.63203,17.6595,17.5480424,17.555256099999998,-1,0.0,Bearish
2024-11-07 03:00:00,17.6595,17.68434,17.64482,17.653,17.5511602,17.556290999999998,-1,0.0,Bearish
2024-11-07 04:00:00,17.652,17.65324,17.59839,17.59879,17.5530068,17.556583699999997,-1,0.0,Bearish
2024-11-07 05:00:00,17.59879,17.615099999999998,17.58618,17.586289999999998,17.555063,17.5564593,-1,0.0,Bearish
2024-11-07 06:00:00,17.58628,17.6062,17.57644,17.59179,17.5569974,17.5564754,1,2.0,Bullish
2024-11-07 07:00:00,17.59289,17.59289,17.54627,17.55398,17.5580644,17.5559668,1,0.0,Bullish
2024-11-07 08:00:00,17.55397,17.57898,17.54301,17.54489,17.5589268,17.5553915,1,0.0,Bullish
2024-11-07 09:00:00,17.54503,17.54593,17.48083,17.51432,17.559391599999998,17.5545346,1,0.0,Bullish
2024-11-07 10:00:00,17.51211,17.53402,17.46138,17.47366,17.5588482,17.5533815,1,0.0,Bullish
2024-11-07 11:00:00,17.47312,17.476210000000002,17.40802,17.45155,17.558730399999998,17.5518247,1,0.0,Bullish
2024-11-07 12:00:00,17.45155,17.47256,17.39829,17.45626,17.5586682,17.550155399999998,1,0.0,Bullish
2024-11-07 13:00:00,17.45626,17.48128,17.44982,17.46408,17.5589832,17.5485668,1,0.0,Bullish
2024-11-07 14:00:00,17.46358,17.464480000000002,17.36599,17.37302,17.557673,17.5458813,1,0.0,Bullish
2024-11-07 15:00:00,17.37302,17.38553,17.32556,17.32586,17.555939600000002,17.542913900000002,1,0.0,Bullish
2024-11-07 16:00:00,17.32616,17.3425,17.27366,17.28252,17.5523014,17.5394335,1,0.0,Bullish
2024-11-07 17:00:00,17.28252,17.32142,17.25989,17.305039999999998,17.549637,17.5361556,1,0.0,Bullish
2024-11-07 18:00:00,17.30427,17.33148,17.30136,17.31236,17.5470316,17.5334442,1,0.0,Bullish
2024-11-07 19:00:00,17.31231,17.32312,17.2801,17.28256,17.5445552,17.5308812,1,0.0,Bullish
2024-11-07 20:00:00,17.28198,17.32203,17.28017,17.2937,17.5420278,17.5283505,1,0.0,Bullish
2024-11-07 21:00:00,17.3096,17.35107,17.2898,17.32321,17.5411498,17.526088,1,0.0,Bullish
2024-11-07 22:00:00,17.32322,17.32322,17.26302,17.29712,17.539699,17.5233654,1,0.0,Bullish
2024-11-07 23:00:00,17.29711,17.31801,17.27641,17.29111,17.538137,17.5203612,1,0.0,Bullish
2024-11-08 00:00:00,17.29111,17.31547,17.27129,17.2766,17.5360934,17.5166214,1,0.0,Bullish
2024-11-08 01:00:00,17.29082,17.31151,17.25341,17.2842,17.5342892,17.5128933,1,0.0,Bullish
2024-11-08 02:00:00,17.2842,17.32756,17.2842,17.32132,17.5331766,17.5096155,1,0.0,Bullish
2024-11-08 03:00:00,17.32132,17.35244,17.31682,17.33057,17.5321902,17.5065311,1,0.0,Bullish
2024-11-08 04:00:00,17.33002,17.34794,17.32542,17.34764,17.5283556,17.5045154,1,0.0,Bullish
2024-11-08 05:00:00,17.34764,17.37198,17.33752,17.36528,17.5246876,17.5023762,1,0.0,Bullish
